NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	12		Rejected!	
GOCC_HISTONE_DEACETYLASE_COMPLEX	77		Rejected!	
GOCC_SAGA_COMPLEX	14		Rejected!	
GOCC_PCAF_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	6		Rejected!	
GOCC_GOLGI_CIS_CISTERNA	30		Rejected!	
GOCC_GOLGI_TRANS_CISTERNA	11		Rejected!	
GOCC_EXOCYST	20		Rejected!	
GOCC_UBIQUITIN_LIGASE_COMPLEX	289	38		
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	43		Rejected!	
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	17		Rejected!	
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	19		Rejected!	
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	15		Rejected!	
GOCC_RIBONUCLEASE_MRP_COMPLEX	9		Rejected!	
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	16		Rejected!	
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	14		Rejected!	
GOCC_NUCLEAR_CHROMOSOME	250	37		
GOCC_PERICENTRIOLAR_MATERIAL	20		Rejected!	
GOCC_COMMITMENT_COMPLEX	5		Rejected!	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_SECTOR_F_1	5		Rejected!	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	11		Rejected!	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	43		Rejected!	
GOCC_ORGANELLAR_RIBOSOME	87		Rejected!	
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	14		Rejected!	
GOCC_THO_COMPLEX	6		Rejected!	
GOCC_PHAGOPHORE_ASSEMBLY_SITE	31		Rejected!	
GOCC_EKC_KEOPS_COMPLEX	6		Rejected!	
GOCC_AUTOPHAGOSOME_MEMBRANE	40		Rejected!	
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	8		Rejected!	
GOCC_CHROMOSOME_CENTROMERIC_REGION	196	38		
GOCC_KINETOCHORE	137	21		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	17		Rejected!	
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	117		Rejected!	
GOCC_CHROMOSOME_TELOMERIC_REGION	161	23		
GOCC_TELOMERE_CAP_COMPLEX	13		Rejected!	
GOCC_CHROMATIN	1222	158		
GOCC_EUCHROMATIN	36		Rejected!	
GOCC_HETEROCHROMATIN	72	15		
GOCC_CONDENSED_CHROMOSOME	218	31		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	88		Rejected!	
GOCC_CONDENSIN_COMPLEX	8		Rejected!	
GOCC_NUCLEAR_COHESIN_COMPLEX	5		Rejected!	
GOCC_LATERAL_ELEMENT	14		Rejected!	
GOCC_CENTRAL_ELEMENT	8		Rejected!	
GOCC_SEX_CHROMOSOME	25		Rejected!	
GOCC_X_CHROMOSOME	9		Rejected!	
GOCC_ORIGIN_RECOGNITION_COMPLEX	9		Rejected!	
GOCC_SWR1_COMPLEX	12		Rejected!	
GOCC_ESCRT_I_COMPLEX	10		Rejected!	
GOCC_ESCRT_III_COMPLEX	11		Rejected!	
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	11		Rejected!	
GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX	9		Rejected!	
GOCC_SPINDLE_POLE	166	35		
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOCC_GAMMA_TUBULIN_COMPLEX	21		Rejected!	
GOCC_GAMMA_TUBULIN_LARGE_COMPLEX	8		Rejected!	
GOCC_P_BODY	91	18		
GOCC_GARP_COMPLEX	5		Rejected!	
GOCC_CONDENSED_CHROMOSOME_INNER_KINETOCHORE	5		Rejected!	
GOCC_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE	14		Rejected!	
GOCC_PRP19_COMPLEX	13		Rejected!	
GOCC_SAM_COMPLEX	13		Rejected!	
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	5		Rejected!	
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	17		Rejected!	
GOCC_OUTER_DENSE_FIBER	6		Rejected!	
GOCC_MICROFIBRIL	12		Rejected!	
GOCC_CORNIFIED_ENVELOPE	45		Rejected!	
GOCC_RADIAL_SPOKE	7		Rejected!	
GOCC_FIBRILLAR_CENTER	139	20		
GOCC_GRANULAR_COMPONENT	5		Rejected!	
GOCC_ACROSOMAL_VESICLE	115		Rejected!	
GOCC_MALE_GERM_CELL_NUCLEUS	15		Rejected!	
GOCC_FEMALE_GERM_CELL_NUCLEUS	5		Rejected!	
GOCC_RUFFLE	175	44		
GOCC_BARR_BODY	6		Rejected!	
GOCC_XY_BODY	11		Rejected!	
GOCC_PHOTORECEPTOR_OUTER_SEGMENT	88		Rejected!	
GOCC_IMMUNOLOGICAL_SYNAPSE	41		Rejected!	
GOCC_PHAGOCYTIC_CUP	27		Rejected!	
GOCC_PHOTORECEPTOR_INNER_SEGMENT	59		Rejected!	
GOCC_FEMALE_PRONUCLEUS	9		Rejected!	
GOCC_MALE_PRONUCLEUS	6		Rejected!	
GOCC_INNER_ACROSOMAL_MEMBRANE	5		Rejected!	
GOCC_ACROSOMAL_MEMBRANE	25		Rejected!	
GOCC_PODOSOME	28		Rejected!	
GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	11		Rejected!	
GOCC_STEREOCILIA_COUPLING_LINK	7		Rejected!	
GOCC_MANCHETTE	15		Rejected!	
GOCC_PALMITOYLTRANSFERASE_COMPLEX	11		Rejected!	
GOCC_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_COMPLEX	5		Rejected!	
GOCC_ZONA_PELLUCIDA_RECEPTOR_COMPLEX	8		Rejected!	
GOCC_FIBRINOGEN_COMPLEX	8		Rejected!	
GOCC_MEMBRANE_ATTACK_COMPLEX	7		Rejected!	
GOCC_COLLAGEN_TRIMER	87		Rejected!	
GOCC_FIBRILLAR_COLLAGEN_TRIMER	12		Rejected!	
GOCC_COLLAGEN_TYPE_IV_TRIMER	7		Rejected!	
GOCC_FACIT_COLLAGEN_TRIMER	6		Rejected!	
GOCC_BASEMENT_MEMBRANE	94		Rejected!	
GOCC_INTERSTITIAL_MATRIX	9		Rejected!	
GOCC_NUCLEAR_ENVELOPE	462	54		
GOCC_NUCLEAR_INNER_MEMBRANE	60		Rejected!	
GOCC_NUCLEAR_OUTER_MEMBRANE	27		Rejected!	
GOCC_NUCLEAR_ENVELOPE_LUMEN	10		Rejected!	
GOCC_ANNULATE_LAMELLAE	6		Rejected!	
GOCC_NUCLEAR_PORE	85		Rejected!	
GOCC_NUCLEAR_LAMINA	10		Rejected!	
GOCC_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX	5		Rejected!	
GOCC_REPLICATION_FORK	65		Rejected!	
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_A_COMPLEX	13		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	5		Rejected!	
GOCC_RNA_POLYMERASE_II_CORE_COMPLEX	15		Rejected!	
GOCC_RNA_POLYMERASE_III_COMPLEX	18		Rejected!	
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	409	51		
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	34		Rejected!	
GOCC_ADA2_GCN5_ADA3_TRANSCRIPTION_ACTIVATOR_COMPLEX	15		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX	13		Rejected!	
GOCC_CHROMATIN_SILENCING_COMPLEX	9		Rejected!	
GOCC_ANAPHASE_PROMOTING_COMPLEX	22		Rejected!	
GOCC_SPLICEOSOMAL_COMPLEX	191	24		
GOCC_U5_SNRNP	23		Rejected!	
GOCC_U7_SNRNP	7		Rejected!	
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	93		Rejected!	
GOCC_U1_SNRNP	32		Rejected!	
GOCC_U2_SNRNP	24		Rejected!	
GOCC_U4_SNRNP	13		Rejected!	
GOCC_U6_SNRNP	11		Rejected!	
GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX	29		Rejected!	
GOCC_CHROMOSOME	1782	245		
GOCC_TELOMERASE_HOLOENZYME_COMPLEX	22		Rejected!	
GOCC_PERICENTRIC_HETEROCHROMATIN	20		Rejected!	
GOCC_PERICHROMATIN_FIBRILS	5		Rejected!	
GOCC_NUCLEOLUS	1386	141		
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	30		Rejected!	
GOCC_RNA_POLYMERASE_I_COMPLEX	13		Rejected!	
GOCC_MITOCHONDRION	1627	135		
GOCC_MITOCHONDRIAL_ENVELOPE	778	48		
GOCC_MITOCHONDRIAL_OUTER_MEMBRANE_TRANSLOCASE_COMPLEX	9		Rejected!	
