NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP	200	70		
KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN	200	87		
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP	200	70		
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_DN	200	94		
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	80		
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	96		
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP	200	47		
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN	200	46		
KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP	200	58		
KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	199	65		
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP	200	54		
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN	200	68		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	200	62		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	79		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	82		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	83		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	200	77		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	200	57		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	199	27		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	200		Rejected!	
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	62		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	198	45		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	199	61		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	45		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	54		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	47		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	200	29		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	30		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	30		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	28		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	200	17		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	199	45		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	199	56		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	200	50		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	199	42		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	200	28		
GSE10325_CD4_TCELL_VS_BCELL_UP	198	75		
GSE10325_CD4_TCELL_VS_BCELL_DN	194	40		
GSE10325_CD4_TCELL_VS_MYELOID_UP	199	66		
GSE10325_CD4_TCELL_VS_MYELOID_DN	200	25		
GSE10325_BCELL_VS_MYELOID_UP	196	49		
GSE10325_BCELL_VS_MYELOID_DN	200	33		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	199	71		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	195	27		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	199	63		
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	200	25		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	194	43		
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	200	33		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	197	34		
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_DN	199	61		
GSE10325_BCELL_VS_LUPUS_BCELL_UP	194		Rejected!	
GSE10325_BCELL_VS_LUPUS_BCELL_DN	200	52		
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	196	17		
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN	200	51		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	194	22		
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN	183	17		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	187	33		
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	195	17		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	198	54		
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	197	78		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	196	37		
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	199	63		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_UP	197	28		
GSE11057_NAIVE_CD4_VS_PBMC_CD4_TCELL_DN	197	35		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP	199	42		
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	188	60		
GSE11057_CD4_EFF_MEM_VS_PBMC_UP	199	41		
GSE11057_CD4_EFF_MEM_VS_PBMC_DN	194	28		
GSE11057_CD4_CENT_MEM_VS_PBMC_UP	197	45		
GSE11057_CD4_CENT_MEM_VS_PBMC_DN	195	24		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	195	37		
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	198	80		
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	197	21		
GSE11057_PBMC_VS_MEM_CD4_TCELL_DN	197	43		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	196	28		
GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	197	23		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP	193	23		
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	200	24		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP	197	40		
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	198	16		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	198	25		
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	199	17		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	197	27		
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_DN	196	23		
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP	196	31		
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	193	21		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	195	24		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	197	25		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	200	38		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	196	29		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	196	27		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	195	28		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	195	30		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	193	34		
GSE11924_TFH_VS_TH1_CD4_TCELL_UP	199	46		
GSE11924_TFH_VS_TH1_CD4_TCELL_DN	200	15		
GSE11924_TFH_VS_TH2_CD4_TCELL_UP	199	36		
GSE11924_TFH_VS_TH2_CD4_TCELL_DN	200		Rejected!	
GSE11924_TFH_VS_TH17_CD4_TCELL_UP	198	26		
GSE11924_TFH_VS_TH17_CD4_TCELL_DN	200	28		
GSE11924_TH1_VS_TH2_CD4_TCELL_UP	200	32		
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	199	30		
GSE11924_TH1_VS_TH17_CD4_TCELL_UP	200	20		
GSE11924_TH1_VS_TH17_CD4_TCELL_DN	199	29		
GSE11924_TH2_VS_TH17_CD4_TCELL_UP	199	30		
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	200	44		
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	196	43		
GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	194	33		
GSE12366_GC_VS_NAIVE_BCELL_UP	198	33		
GSE12366_GC_VS_NAIVE_BCELL_DN	196	61		
GSE12366_GC_VS_MEMORY_BCELL_UP	198	40		
GSE12366_GC_VS_MEMORY_BCELL_DN	197	51		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	194	17		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	199	44		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP	192	19		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	199	42		
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	194	35		
GSE12366_NAIVE_VS_MEMORY_BCELL_DN	193	44		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	199	30		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	196	49		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	195	36		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	199	64		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	24		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	200	46		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	196	31		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	35		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	198	25		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	197	34		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	22		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	198	47		
