NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	10		Rejected!	
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	25		Rejected!	
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_TRNA_BINDING	67		Rejected!	
GOMF_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_SULFUR_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOMF_SUCCINATE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	29		Rejected!	
GOMF_SNARE_BINDING	114		Rejected!	
GOMF_RDNA_BINDING	8		Rejected!	
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	36		Rejected!	
GOMF_3_KETO_STEROL_REDUCTASE_ACTIVITY	5		Rejected!	
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	6		Rejected!	
GOMF_MAGNESIUM_ION_BINDING	216	20		
GOMF_ENDOPOLYPHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_RNA_CAP_BINDING	19		Rejected!	
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	12		Rejected!	
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	17		Rejected!	
GOMF_Y_FORM_DNA_BINDING	5		Rejected!	
GOMF_BUBBLE_DNA_BINDING	8		Rejected!	
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	12		Rejected!	
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	8		Rejected!	
GOMF_INOSITOL_HEXAKISPHOSPHATE_5_KINASE_ACTIVITY	5		Rejected!	
GOMF_TRANSLATION_REPRESSOR_ACTIVITY_MRNA_REGULATORY_ELEMENT_BINDING	15		Rejected!	
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	18		Rejected!	
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	1219	151		
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	6		Rejected!	
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	7		Rejected!	
GOMF_RNA_POLYMERASE_I_CORE_BINDING	5		Rejected!	
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	40		Rejected!	
GOMF_RNA_POLYMERASE_II_ACTIVITY	5		Rejected!	
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	52		Rejected!	
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	19		Rejected!	
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	10		Rejected!	
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	69		Rejected!	
GOMF_RNA_POLYMERASE_II_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	48		Rejected!	
GOMF_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	35		Rejected!	
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	10		Rejected!	
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	7		Rejected!	
